tarea,tick_ms,us_inicio,us_fin,duracion_us
Tmr Svc,0,502,847,345
Supervisor,1,847,951,104
Golosa,1,951,1673,722
Victima,1,1673,1755,82
Fondo,1,1755,1840,85
IDLE,1,1840,133791,131951
Victima,101,133791,133828,37
IDLE,101,133828,271003,137175
Victima,201,271003,271049,46
IDLE,201,271049,335403,64354
Golosa,251,335403,335469,66
IDLE,251,335469,400436,64967
Victima,301,400436,400468,32
IDLE,301,400468,530188,129720
Victima,401,530188,530234,46
IDLE,401,530234,669481,139247
Golosa,501,669481,669548,67
Victima,501,669548,669574,26
IDLE,501,669574,797115,127541
Victima,601,797115,797156,41
IDLE,601,797156,929291,132135
Victima,701,929291,929326,35
IDLE,701,929326,1001060,71734
Golosa,751,1001060,1001122,62
IDLE,751,1001122,1064430,63308
Victima,801,1064430,1064464,34
IDLE,801,1064464,1201582,137118
Victima,901,1201582,1201619,37
IDLE,901,1201619,1325312,123693
Golosa,1001,1325312,1325373,61
Victima,1001,1325373,1325408,35
Fondo,1001,1325408,1325439,31
IDLE,1001,1325439,1463373,137934
Victima,1101,1463373,1463419,46
IDLE,1101,1463419,1600569,137150
Victima,1201,1600569,1600628,59
IDLE,1201,1600628,1670838,70210
Golosa,1251,1670838,1670915,77
IDLE,1251,1670915,1736196,65281
Victima,1301,1736196,1736230,34
IDLE,1301,1736230,1871451,135221
Victima,1401,1871451,1871493,42
IDLE,1401,1871493,2001729,130236
Golosa,1501,2001729,2001817,88
Victima,1501,2001817,2001851,34
IDLE,1501,2001851,2127207,125356
Victima,1601,2127207,2127252,45
IDLE,1601,2127252,2261893,134641
Victima,1701,2261893,2261928,35
IDLE,1701,2261928,2327387,65459
Golosa,1751,2327387,2327468,81
IDLE,1751,2327468,2401808,74340
Victima,1801,2401808,2401847,39
IDLE,1801,2401847,2537580,135733
Victima,1901,2537580,2537623,43
IDLE,1901,2537623,2676001,138378
Golosa,2001,2676001,2676064,63
Victima,2001,2676064,2676099,35
Fondo,2001,2676099,2676131,32
IDLE,2001,2676131,2803005,126874
Victima,2101,2803005,2803039,34
IDLE,2101,2803039,2931325,128286
Victima,2201,2931325,2931372,47
IDLE,2201,2931372,3001692,70320
Golosa,2251,3001692,3001756,64
IDLE,2251,3001756,3061871,60115
Victima,2301,3061871,3061905,34
IDLE,2301,3061905,3196393,134488
Victima,2401,3196393,3196428,35
IDLE,2401,3196428,3326253,129825
Golosa,2501,3326253,3326314,61
