tarea,tick_ms,us_inicio,us_fin,duracion_us
Victima,2501,3326314,3326340,26
IDLE,2501,3326340,3471027,144687
Victima,2601,3471027,3471070,43
IDLE,2601,3471070,3611175,140105
Victima,2701,3611175,3611209,34
IDLE,2701,3611209,3677768,66559
Golosa,2751,3677768,3677858,90
IDLE,2751,3677858,3743159,65301
Victima,2801,3743159,3743202,43
IDLE,2801,3743202,3868892,125690
Victima,2901,3868892,3868931,39
IDLE,2901,3868931,4008725,139794
Golosa,3001,4008725,4008799,74
Victima,3001,4008799,4008835,36
Fondo,3001,4008835,4008867,32
IDLE,3001,4008867,4145051,136184
Victima,3101,4145051,4145084,33
IDLE,3101,4145084,4280283,135199
Victima,3201,4280283,4280317,34
IDLE,3201,4280317,4345771,65454
Golosa,3251,4345771,4345830,59
IDLE,3251,4345830,4416259,70429
Victima,3301,4416259,4416308,49
IDLE,3301,4416308,4549738,133430
Victima,3401,4549738,4549782,44
IDLE,3401,4549782,4690164,140382
Golosa,3501,4690164,4690229,65
Victima,3501,4690229,4690255,26
IDLE,3501,4690255,4823517,133262
Victima,3601,4823517,4823551,34
IDLE,3601,4823551,4951483,127932
Victima,3701,4951483,4951515,32
IDLE,3701,4951515,5020317,68802
Golosa,3751,5020317,5020398,81
IDLE,3751,5020398,5080126,59728
Victima,3801,5080126,5080160,34
IDLE,3801,5080160,5214713,134553
Victima,3901,5214713,5214758,45
IDLE,3901,5214758,5345384,130626
Golosa,4001,5345384,5345446,62
Victima,4001,5345446,5345481,35
Fondo,4001,5345481,5345512,31
IDLE,4001,5345512,5475567,130055
Victima,4101,5475567,5475599,32
IDLE,4101,5475599,5607748,132149
Victima,4201,5607748,5607789,41
IDLE,4201,5607789,5674544,66755
Golosa,4251,5674544,5674627,83
IDLE,4251,5674627,5747545,72918
Victima,4301,5747545,5747581,36
IDLE,4301,5747581,5877335,129754
Victima,4401,5877335,5877369,34
IDLE,4401,5877369,6012659,135290
Golosa,4501,6012659,6012721,62
Victima,4501,6012721,6012747,26
IDLE,4501,6012747,6137474,124727
Victima,4601,6137474,6137508,34
IDLE,4601,6137508,6267913,130405
Victima,4701,6267913,6267949,36
IDLE,4701,6267949,6338392,70443
Golosa,4751,6338392,6338465,73
IDLE,4751,6338465,6408632,70167
Victima,4801,6408632,6408667,35
IDLE,4801,6408667,6545731,137064
Victima,4901,6545731,6545763,32
IDLE,4901,6545763,6678747,132984
Golosa,5001,6678747,17170847,10492100
Victima,13001,17170847,17170898,51
Fondo,13001,17170898,17170940,42
IDLE,13001,17170940,17319875,148935
Victima,13101,17319875,17319920,45
IDLE,13101,17319920,17447302,127382
Victima,13201,17447302,17447338,36
IDLE,13201,17447338,17572070,124732
Victima,13301,17572070,17572107,37
IDLE,13301,17572107,17705558,133451
Victima,13401,17705558,17705592,34
IDLE,13401,17705592,17855856,150264
Victima,13501,17855856,17855899,43
IDLE,13501,17855899,17990102,134203
Victima,13601,17990102,17990148,46
IDLE,13601,17990148,18135591,145443
Victima,13701,18135591,18135625,34
IDLE,13701,18135625,18264573,128948
Victima,13801,18264573,18264616,43
IDLE,13801,18264616,18406759,142143
Victima,13901,18406759,18406801,42
IDLE,13901,18406801,18542238,135437
Golosa,14001,18542238,18542314,76
Victima,14001,18542314,18542352,38
Fondo,14001,18542352,18542384,32
IDLE,14001,18542384,18673341,130957
Victima,14101,18673341,18673387,46
IDLE,14101,18673387,18798368,124981
Victima,14201,18798368,18798404,36
IDLE,14201,18798404,18941258,142854
Victima,14301,18941258,18941296,38
IDLE,14301,18941296,19080412,139116
Victima,14401,19080412,19080446,34
IDLE,14401,19080446,19209005,128559
Victima,14501,19209005,19209039,34
IDLE,14501,19209039,19344949,135910
Victima,14601,19344949,19344991,42
IDLE,14601,19344991,19474284,129293
Victima,14701,19474284,19474338,54
IDLE,14701,19474338,19604284,129946
Victima,14801,19604284,19604322,38
IDLE,14801,19604322,19742933,138611
Victima,14901,19742933,19742971,38
IDLE,14901,19742971,19872245,129274
Golosa,15001,19872245,19872310,65
Victima,15001,19872310,19872344,34
Fondo,15001,19872344,19872376,32
IDLE,15001,19872376,20008181,135805
Victima,15101,20008181,20008220,39
IDLE,15101,20008220,20139250,131030
Victima,15201,20139250,20139288,38
IDLE,15201,20139288,20275601,136313
Victima,15301,20275601,20275635,34
IDLE,15301,20275635,20402046,126411
Victima,15401,20402046,20402080,34
IDLE,15401,20402080,20533518,131438
Victima,15501,20533518,20533561,43
IDLE,15501,20533561,20667505,133944
Victima,15601,20667505,20667546,41
IDLE,15601,20667546,20798636,131090
Victima,15701,20798636,20798673,37
IDLE,15701,20798673,20939468,140795
Victima,15801,20939468,20939501,33
IDLE,15801,20939501,21063954,124453
Victima,15901,21063954,21064019,65
IDLE,15901,21064019,21201663,137644
Golosa,16001,21201663,21201804,141
Victima,16001,21201804,21201863,59
Fondo,16001,21201863,21201910,47
IDLE,16001,21201910,21333920,132010
Victima,16101,21333920,21333956,36
IDLE,16101,21333956,21464237,130281
Victima,16201,21464237,21464281,44
IDLE,16201,21464281,21598437,134156
Victima,16301,21598437,21598469,32
IDLE,16301,21598469,21728889,130420
Victima,16401,21728889,21728922,33
IDLE,16401,21728922,21870064,141142
Victima,16501,21870064,21870104,40
IDLE,16501,21870104,21999638,129534
Victima,16601,21999638,21999682,44
IDLE,16601,21999682,22136487,136805
Victima,16701,22136487,22136521,34
IDLE,16701,22136521,22273073,136552
Victima,16801,22273073,22273118,45
IDLE,16801,22273118,22399073,125955
Victima,16901,22399073,22399111,38
IDLE,16901,22399111,22543402,144291
Golosa,17001,22543402,22543485,83
Victima,17001,22543485,22543524,39
Fondo,17001,22543524,22543556,32
IDLE,17001,22543556,22682160,138604
Victima,17101,22682160,22682199,39
IDLE,17101,22682199,22809770,127571
Victima,17201,22809770,22809808,38
IDLE,17201,22809808,22939276,129468
Victima,17301,22939276,22939317,41
IDLE,17301,22939317,23074081,134764
Victima,17401,23074081,23074119,38
IDLE,17401,23074119,23204164,130045
Victima,17501,23204164,23204202,38
IDLE,17501,23204202,23347055,142853
Victima,17601,23347055,23347089,34
IDLE,17601,23347089,23472207,125118
Victima,17701,23472207,23472250,43
IDLE,17701,23472250,23610394,138144
Victima,17801,23610394,23610440,46
IDLE,17801,23610440,23738446,128006
Victima,17901,23738446,23738479,33
IDLE,17901,23738479,23877610,139131
Golosa,18001,23877610,23877674,64
Victima,18001,23877674,23877709,35
Fondo,18001,23877709,23877740,31
IDLE,18001,23877740,24009457,131717
Victima,18101,24009457,24009495,38
IDLE,18101,24009495,24144061,134566
Victima,18201,24144061,24144095,34
IDLE,18201,24144095,24279794,135699
Victima,18301,24279794,24279829,35
IDLE,18301,24279829,24409547,129718
Victima,18401,24409547,24409581,34
IDLE,18401,24409581,24534619,125038
Victima,18501,24534619,24534657,38
IDLE,18501,24534657,24679608,144951
Victima,18601,24679608,24679652,44
IDLE,18601,24679652,24814219,134567
Victima,18701,24814219,24814277,58
IDLE,18701,24814277,24943509,129232
Victima,18801,24943509,24943543,34
IDLE,18801,24943543,25077959,134416
Victima,18901,25077959,25077993,34
IDLE,18901,25077993,25207705,129712
Golosa,19001,25207705,25207779,74
Victima,19001,25207779,25207824,45
Fondo,19001,25207824,25207865,41
IDLE,19001,25207865,25332971,125106
Victima,19101,25332971,25333009,38
IDLE,19101,25333009,25459590,126581
Victima,19201,25459590,25459623,33
IDLE,19201,25459623,25593052,133429
Victima,19301,25593052,25593091,39
IDLE,19301,25593091,25730161,137070
Victima,19401,25730161,25730210,49
IDLE,19401,25730210,25858965,128755
Victima,19501,25858965,25859028,63
IDLE,19501,25859028,26004665,145637
Victima,19601,26004665,26004704,39
IDLE,19601,26004704,26135571,130867
Victima,19701,26135571,26135604,33
IDLE,19701,26135604,26272375,136771
Victima,19801,26272375,26272414,39
IDLE,19801,26272414,26411344,138930
Victima,19901,26411344,26411385,41
IDLE,19901,26411385,26544083,132698
Supervisor,20001,26544083,26544083,0
