tarea,tick_ms,us_inicio,us_fin,duracion_us
Tmr Svc,0,488,820,332
Supervisor,1,820,910,90
Urgente,1,910,998,88
Calculo,1,998,1219,221
Calculo,1,1219,1377,158
Calculo,1,1377,1541,164
Calculo,1,1541,1700,159
Calculo,1,1700,1858,158
Calculo,1,1858,2017,159
Calculo,1,2017,2209,192
Calculo,2,2209,2383,174
Calculo,2,2383,2556,173
Calculo,2,2556,2739,183
Calculo,2,2739,2914,175
Calculo,2,2914,3092,178
Calculo,2,3092,3288,196
Calculo,3,3288,3465,177
Calculo,3,3465,3645,180
Calculo,3,3645,3826,181
Calculo,3,3826,4004,178
Calculo,3,4004,4189,185
Calculo,4,4189,4369,180
Calculo,4,4369,4547,178
Calculo,4,4547,4727,180
Calculo,4,4727,4907,180
Calculo,4,4907,5083,176
Calculo,4,5083,5260,177
Calculo,4,5260,5453,193
Calculo,5,5453,5630,177
Calculo,5,5630,5805,175
Calculo,5,5805,5981,176
Calculo,5,5981,6154,173
Calculo,5,6154,6327,173
Calculo,5,6327,6517,190
Calculo,6,6517,6690,173
Calculo,6,6690,6867,177
Calculo,6,6867,7049,182
Calculo,6,7049,7226,177
Calculo,6,7226,7404,178
Calculo,6,7404,7614,210
Calculo,7,7614,7792,178
Calculo,7,7792,7980,188
Calculo,7,7980,8188,208
Calculo,7,8188,8365,177
Calculo,7,8365,8593,228
Calculo,8,8593,8770,177
Calculo,8,8770,8945,175
Calculo,8,8945,9126,181
Calculo,8,9126,9302,176
Calculo,8,9302,9478,176
Calculo,8,9478,9668,190
Calculo,9,9668,9841,173
Calculo,9,9841,10014,173
Calculo,9,10014,10195,181
Calculo,9,10195,10368,173
Calculo,9,10368,10541,173
Calculo,9,10541,10732,191
Calculo,10,10732,10910,178
Calculo,10,10910,11090,180
Calculo,10,11090,11268,178
Calculo,10,11268,11445,177
Calculo,10,11445,11657,212
Calculo,11,11657,11849,192
Calculo,11,11849,12025,176
Calculo,11,12025,12237,212
Calculo,11,12237,12414,177
Calculo,11,12414,12665,251
Calculo,11,12665,12886,221
Calculo,12,12886,13061,175
Calculo,12,13061,13242,181
Calculo,12,13242,13419,177
Calculo,12,13419,13595,176
Calculo,12,13595,13834,239
Calculo,13,13834,13993,159
Calculo,13,13993,14151,158
Calculo,13,14151,14321,170
Calculo,13,14321,14482,161
Calculo,13,14482,14640,158
Calculo,13,14640,14799,159
Calculo,13,14799,14975,176
Calculo,14,14975,15134,159
Calculo,14,15134,15292,158
Calculo,14,15292,15455,163
Calculo,14,15455,15614,159
Calculo,14,15614,15772,158
Calculo,14,15772,15955,183
Calculo,15,15955,16114,159
Calculo,15,16114,16272,158
Calculo,15,16272,16444,172
Calculo,15,16444,16602,158
Calculo,15,16602,16761,159
Calculo,15,16761,16919,158
Calculo,15,16919,17094,175
Calculo,16,17094,17253,159
Calculo,16,17253,17411,158
Calculo,16,17411,17574,163
Calculo,16,17574,17733,159
Calculo,16,17733,17891,158
Calculo,16,17891,18065,174
Calculo,17,18065,18224,159
Calculo,17,18224,18382,158
Calculo,17,18382,18545,163
Calculo,17,18545,18703,158
Calculo,17,18703,18862,159
Calculo,17,18862,19042,180
Calculo,18,19042,19205,163
Calculo,18,19205,19363,158
Calculo,18,19363,19522,159
Calculo,18,19522,19693,171
Calculo,18,19693,19852,159
Calculo,18,19852,20010,158
Calculo,18,20010,20201,191
Calculo,19,20201,20360,159
Calculo,19,20360,20518,158
Calculo,19,20518,20684,166
Calculo,19,20684,20851,167
Calculo,19,20851,21010,159
Calculo,19,21010,21168,158
Calculo,19,21168,21352,184
Calculo,20,21352,21510,158
Calculo,20,21510,21669,159
Calculo,20,21669,21833,164
Calculo,20,21833,21991,158
Calculo,20,21991,22149,158
Calculo,20,22149,22308,159
Calculo,20,22308,22466,158
Calculo,20,22466,22625,159
Calculo,20,22625,22797,172
Calculo,21,22797,22956,159
Calculo,21,22956,23114,158
Calculo,21,23114,23273,159
Calculo,21,23273,23431,158
Calculo,21,23431,23589,158
Calculo,21,23589,23750,161
Calculo,21,23750,23908,158
Calculo,21,23908,24067,159
Calculo,21,24067,24225,158
Calculo,21,24225,24399,174
Calculo,22,24399,24558,159
Calculo,22,24558,24716,158
Calculo,22,24716,24874,158
Calculo,22,24874,25033,159
Calculo,22,25033,25191,158
Calculo,22,25191,25356,165
Calculo,22,25356,25514,158
Calculo,22,25514,25673,159
Calculo,22,25673,25831,158
Calculo,22,25831,25990,159
Calculo,22,25990,26148,158
Calculo,22,26148,26321,173
Calculo,23,26321,26479,158
Calculo,23,26479,26637,158
Calculo,23,26637,26796,159
Calculo,23,26796,26954,158
Calculo,23,26954,27113,159
