tarea,tick_ms,us_inicio,us_fin,duracion_us
TrabajoB,112,141509,142540,1031
TrabajoA,113,142540,143575,1035
TrabajoB,114,143575,144607,1032
TrabajoA,115,144607,145638,1031
TrabajoB,116,145638,146668,1030
TrabajoA,117,146668,147731,1063
TrabajoB,118,147731,148815,1084
TrabajoA,119,148815,149951,1136
TrabajoB,120,149951,151035,1084
TrabajoA,121,151035,152066,1031
TrabajoB,122,152066,153101,1035
TrabajoA,123,153101,154170,1069
TrabajoB,124,154170,155199,1029
TrabajoA,125,155199,156223,1024
TrabajoB,126,156223,157251,1028
TrabajoA,127,157251,158299,1048
TrabajoB,128,158299,159323,1024
TrabajoA,129,159323,160364,1041
TrabajoB,130,160364,161523,1159
TrabajoA,131,161523,162611,1088
TrabajoB,132,162611,163671,1060
TrabajoA,133,163671,164756,1085
TrabajoB,134,164756,166753,1997
TrabajoA,135,166753,168255,1502
TrabajoB,136,168255,170259,2004
TrabajoA,137,170259,172251,1992
TrabajoB,138,172251,174239,1988
TrabajoA,139,174239,176233,1994
TrabajoB,140,176233,177810,1577
TrabajoA,141,177810,178946,1136
TrabajoB,142,178946,180008,1062
TrabajoA,143,180008,181041,1033
TrabajoB,144,181041,182077,1036
TrabajoA,145,182077,183111,1034
TrabajoB,146,183111,184173,1062
TrabajoA,147,184173,185208,1035
TrabajoB,148,185208,186246,1038
TrabajoA,149,186246,187371,1125
TrabajoB,150,187371,188437,1066
TrabajoA,151,188437,189504,1067
TrabajoB,152,189504,190589,1085
TrabajoA,153,190589,191650,1061
TrabajoB,154,191650,192714,1064
TrabajoA,155,192714,193746,1032
TrabajoB,156,193746,194772,1026
TrabajoA,157,194772,195798,1026
TrabajoB,158,195798,196838,1040
TrabajoA,159,196838,197872,1034
TrabajoB,160,197872,198907,1035
TrabajoA,161,198907,200034,1127
TrabajoB,162,200034,201081,1047
TrabajoA,163,201081,202202,1121
TrabajoB,164,202202,203296,1094
TrabajoA,165,203296,204400,1104
TrabajoB,166,204400,205433,1033
TrabajoA,167,205433,206951,1518
TrabajoB,168,206951,208452,1501
TrabajoA,169,208452,210448,1996
TrabajoB,170,210448,212444,1996
TrabajoA,171,212444,214438,1994
TrabajoB,172,214438,216435,1997
TrabajoA,173,216435,218432,1997
TrabajoB,174,218432,220426,1994
TrabajoA,175,220426,222415,1989
TrabajoB,176,222415,224410,1995
TrabajoA,177,224410,226405,1995
TrabajoB,178,226405,228400,1995
TrabajoA,179,228400,229502,1102
TrabajoB,180,229502,230694,1192
TrabajoA,181,230694,231725,1031
TrabajoB,182,231725,232758,1033
TrabajoA,183,232758,233806,1048
TrabajoB,184,233806,234840,1034
TrabajoA,185,234840,235873,1033
TrabajoB,186,235873,236909,1036
TrabajoA,187,236909,237945,1036
TrabajoB,188,237945,239031,1086
TrabajoA,189,239031,240091,1060
TrabajoB,190,240091,241243,1152
TrabajoA,191,241243,242310,1067
TrabajoB,192,242310,243402,1092
TrabajoA,193,243402,244479,1077
TrabajoB,194,244479,245520,1041
TrabajoA,195,245520,246646,1126
TrabajoB,196,246646,247685,1039
TrabajoA,197,247685,248739,1054
TrabajoB,198,248739,249776,1037
TrabajoA,199,249776,250813,1037
TrabajoB,200,250813,251886,1073
TrabajoA,201,251886,252951,1065
TrabajoB,202,252951,253993,1042
TrabajoA,203,253993,255024,1031
TrabajoB,204,255024,256155,1131
TrabajoA,205,256155,257215,1060
TrabajoB,206,257215,258247,1032
TrabajoA,207,258247,260244,1997
TrabajoB,208,260244,261751,1507
TrabajoA,209,261751,263746,1995
TrabajoB,210,263746,265737,1991
TrabajoA,211,265737,267732,1995
TrabajoB,212,267732,269726,1994
TrabajoA,213,269726,271725,1999
TrabajoB,214,271725,273717,1992
TrabajoA,215,273717,275711,1994
TrabajoB,216,275711,277707,1996
TrabajoA,217,277707,279700,1993
TrabajoB,218,279700,281695,1995
TrabajoA,219,281695,283689,1994
TrabajoB,220,283689,285684,1995
TrabajoA,221,285684,287679,1995
TrabajoB,222,287679,289674,1995
TrabajoA,223,289674,291668,1994
TrabajoB,224,291668,292932,1264
TrabajoA,225,292932,293981,1049
TrabajoB,226,293981,295016,1035
TrabajoA,227,295016,296081,1065
TrabajoB,228,296081,297189,1108
TrabajoA,229,297189,298220,1031
TrabajoB,230,298220,299251,1031
TrabajoA,231,299251,300282,1031
TrabajoB,232,300282,301314,1032
TrabajoA,233,301314,302345,1031
TrabajoB,234,302345,303384,1039
TrabajoA,235,303384,304494,1110
TrabajoB,236,304494,305553,1059
TrabajoA,237,305553,306586,1033
TrabajoB,238,306586,307686,1100
TrabajoA,239,307686,308744,1058
TrabajoB,240,308744,309834,1090
TrabajoA,241,309834,310895,1061
TrabajoB,242,310895,311925,1030
TrabajoA,243,311925,312958,1033
TrabajoB,244,312958,313989,1031
TrabajoA,245,313989,315021,1032
TrabajoB,246,315021,317018,1997
TrabajoA,247,317018,318521,1503
TrabajoB,248,318521,320516,1995
TrabajoA,249,320516,322512,1996
TrabajoB,250,322512,324505,1993
TrabajoA,251,324505,326498,1993
TrabajoB,252,326498,327563,1065
TrabajoA,253,327563,328594,1031
TrabajoB,254,328594,329652,1058
TrabajoA,255,329652,330683,1031
TrabajoB,256,330683,331771,1088
TrabajoA,257,331771,332829,1058
TrabajoB,258,332829,333860,1031
TrabajoA,259,333860,334892,1032
TrabajoB,260,334892,335924,1032
TrabajoA,261,335924,336957,1033
TrabajoB,262,336957,338048,1091
TrabajoA,263,338048,339146,1098
TrabajoB,264,339146,340239,1093
TrabajoA,265,340239,341302,1063
TrabajoB,266,341302,342335,1033
TrabajoA,267,342335,343427,1092
TrabajoB,268,343427,344510,1083
TrabajoA,269,344510,345540,1030
TrabajoB,270,345540,346572,1032
TrabajoA,271,346572,347602,1030
TrabajoB,272,347602,348634,1032
TrabajoA,273,348634,349666,1032
TrabajoB,274,349666,350727,1061
TrabajoA,275,350727,351757,1030
TrabajoB,276,351757,352816,1059
TrabajoA,277,352816,354091,1275
TrabajoB,278,354091,355129,1038
TrabajoA,279,355129,356677,1548
TrabajoB,280,356677,358672,1995
TrabajoA,281,358672,360665,1993
TrabajoB,282,360665,362661,1996
TrabajoA,283,362661,364656,1995
TrabajoB,284,364656,366648,1992
TrabajoA,285,366648,368645,1997
TrabajoB,286,368645,369792,1147
TrabajoA,287,369792,370935,1143
TrabajoB,288,370935,372162,1227
TrabajoA,289,372162,373920,1758
TrabajoB,290,373920,375469,1549
TrabajoA,291,375469,376508,1039
TrabajoB,292,376508,377727,1219
TrabajoA,293,377727,378766,1039
TrabajoB,294,378766,379798,1032
TrabajoA,295,379798,380931,1133
TrabajoB,296,380931,381960,1029
TrabajoA,297,381960,383055,1095
TrabajoB,298,383055,384224,1169
TrabajoA,299,384224,385286,1062
TrabajoB,300,385286,386317,1031
TrabajoA,301,386317,387383,1066
TrabajoB,302,387383,388411,1028
TrabajoA,303,388411,389444,1033
TrabajoB,304,389444,390476,1032
TrabajoA,305,390476,391542,1066
TrabajoB,306,391542,392630,1088
TrabajoA,307,392630,393692,1062
TrabajoB,308,393692,394754,1062
TrabajoA,309,394754,395816,1062
TrabajoB,310,395816,396852,1036
TrabajoA,311,396852,397919,1067
TrabajoB,312,397919,398998,1079
TrabajoA,313,398998,400069,1071
TrabajoB,314,400069,401109,1040
TrabajoA,315,401109,403105,1996
TrabajoB,316,403105,404609,1504
TrabajoA,317,404609,406603,1994
TrabajoB,318,406603,408598,1995
TrabajoA,319,408598,410593,1995
TrabajoB,320,410593,412586,1993
TrabajoA,321,412586,414146,1560
TrabajoB,322,414146,415359,1213
TrabajoA,323,415359,416444,1085
TrabajoB,324,416444,417475,1031
TrabajoA,325,417475,418507,1032
TrabajoB,326,418507,419538,1031
TrabajoA,327,419538,420571,1033
TrabajoB,328,420571,421602,1031
TrabajoA,329,421602,422634,1032
TrabajoB,330,422634,423665,1031
TrabajoA,331,423665,424696,1031
TrabajoB,332,424696,425815,1119
TrabajoA,333,425815,426922,1107
TrabajoB,334,426922,427982,1060
TrabajoA,335,427982,429055,1073
TrabajoB,336,429055,430275,1220
TrabajoA,337,430275,431312,1037
TrabajoB,338,431312,432346,1034
TrabajoA,339,432346,433381,1035
TrabajoB,340,433381,434419,1038
TrabajoA,341,434419,435452,1033
TrabajoB,342,435452,436486,1034
TrabajoA,343,436486,437558,1072
TrabajoB,344,437558,438669,1111
TrabajoA,345,438669,439783,1114
TrabajoB,346,439783,440842,1059
TrabajoA,347,440842,441877,1035
TrabajoB,348,441877,443395,1518
TrabajoA,349,443395,445388,1993
TrabajoB,350,445388,447393,2005
TrabajoA,351,447393,449376,1983
TrabajoB,352,449376,451370,1994
TrabajoA,353,451370,453372,2002
TrabajoB,354,453372,455365,1993
TrabajoA,355,455365,456914,1549
TrabajoB,356,456914,458027,1113
TrabajoA,357,458027,459139,1112
TrabajoB,358,459139,460171,1032
TrabajoA,359,460171,461256,1085
TrabajoB,360,461256,462289,1033
TrabajoA,361,462289,463322,1033
TrabajoB,362,463322,464358,1036
TrabajoA,363,464358,465395,1037
TrabajoB,364,465395,466432,1037
TrabajoA,365,466432,467469,1037
TrabajoB,366,467469,468507,1038
TrabajoA,367,468507,469577,1070
TrabajoB,368,469577,470813,1236
TrabajoA,369,470813,471878,1065
TrabajoB,370,471878,472916,1038
TrabajoA,371,472916,473968,1052
TrabajoB,372,473968,475006,1038
TrabajoA,373,475006,476043,1037
TrabajoB,374,476043,477248,1205
TrabajoA,375,477248,478275,1027
TrabajoB,376,478275,479304,1029
TrabajoA,377,479304,480353,1049
TrabajoB,378,480353,481417,1064
TrabajoA,379,481417,482457,1040
TrabajoB,380,482457,483552,1095
TrabajoA,381,483552,484694,1142
TrabajoB,382,484694,485733,1039
TrabajoA,383,485733,487733,2000
TrabajoB,384,487733,489233,1500
TrabajoA,385,489233,491229,1996
TrabajoB,386,491229,492740,1511
TrabajoA,387,492740,494731,1991
TrabajoB,388,494731,496725,1994
TrabajoA,389,496725,498719,1994
TrabajoB,390,498719,500714,1995
TrabajoA,391,500714,502708,1994
TrabajoB,392,502708,504707,1999
TrabajoA,393,504707,506699,1992
TrabajoB,394,506699,508693,1994
TrabajoA,395,508693,509864,1171
TrabajoB,396,509864,510928,1064
TrabajoA,397,510928,511965,1037
TrabajoB,398,511965,513000,1035
TrabajoA,399,513000,514035,1035
TrabajoB,400,514035,515070,1035
TrabajoA,401,515070,516105,1035
TrabajoB,402,516105,517140,1035
TrabajoA,403,517140,518179,1039
TrabajoB,404,518179,519216,1037
TrabajoA,405,519216,520284,1068
TrabajoB,406,520284,521399,1115
TrabajoA,407,521399,522585,1186
TrabajoB,408,522585,523643,1058
TrabajoA,409,523643,524677,1034
TrabajoB,410,524677,525712,1035
TrabajoA,411,525712,526747,1035
TrabajoB,412,526747,527782,1035
TrabajoA,413,527782,528817,1035
TrabajoB,414,528817,529852,1035
TrabajoA,415,529852,530887,1035
TrabajoB,416,530887,531951,1064
TrabajoA,417,531951,533065,1114
TrabajoB,418,533065,534113,1048
TrabajoA,419,534113,535201,1088
TrabajoB,420,535201,536262,1061
TrabajoA,421,536262,537295,1033
TrabajoB,422,537295,539293,1998
TrabajoA,423,539293,540796,1503
TrabajoB,424,540796,542790,1994
TrabajoA,425,542790,544784,1994
TrabajoB,426,544784,546781,1997
TrabajoA,427,546781,548778,1997
TrabajoB,428,548778,550770,1992
TrabajoA,429,550770,552766,1996
TrabajoB,430,552766,554770,2004
TrabajoA,431,554770,556753,1983
TrabajoB,432,556753,557997,1244
TrabajoA,433,557997,559989,1992
TrabajoB,434,559989,561076,1087
TrabajoA,435,561076,562112,1036
TrabajoB,436,562112,563184,1072
TrabajoA,437,563184,564232,1048
TrabajoB,438,564232,565269,1037
TrabajoA,439,565269,566305,1036
TrabajoB,440,566305,567343,1038
TrabajoA,441,567343,568380,1037
TrabajoB,442,568380,569487,1107
TrabajoA,443,569487,570549,1062
TrabajoB,444,570549,571628,1079
TrabajoA,445,571628,572713,1085
TrabajoB,446,572713,573777,1064
TrabajoA,447,573777,574808,1031
TrabajoB,448,574808,575839,1031
TrabajoA,449,575839,576872,1033
TrabajoB,450,576872,577904,1032
TrabajoA,451,577904,578949,1045
TrabajoB,452,578949,579982,1033
TrabajoA,453,579982,581013,1031
TrabajoB,454,581013,582045,1032
TrabajoA,455,582045,583134,1089
TrabajoB,456,583134,584232,1098
TrabajoA,457,584232,585325,1093
TrabajoB,458,585325,586415,1090
TrabajoA,459,586415,587455,1040
TrabajoB,460,587455,588490,1035
TrabajoA,461,588490,590487,1997
TrabajoB,462,590487,591991,1504
TrabajoA,463,591991,593989,1998
TrabajoB,464,593989,595982,1993
TrabajoA,465,595982,597975,1993
TrabajoB,466,597975,599972,1997
TrabajoA,467,599972,601965,1993
TrabajoB,468,601965,603961,1996
TrabajoA,469,603961,605954,1993
TrabajoB,470,605954,607948,1994
TrabajoA,471,607948,609945,1997
TrabajoB,472,609945,611496,1551
TrabajoA,473,611496,612560,1064
TrabajoB,474,612560,613698,1138
TrabajoA,475,613698,614810,1112
TrabajoB,476,614810,615841,1031
TrabajoA,477,615841,616870,1029
TrabajoB,478,616870,617900,1030
TrabajoA,479,617900,618945,1045
TrabajoB,480,618945,620006,1061
TrabajoA,481,620006,621055,1049
TrabajoB,482,621055,622085,1030
TrabajoA,483,622085,623180,1095
TrabajoB,484,623180,624253,1073
TrabajoA,485,624253,625286,1033
TrabajoB,486,625286,626324,1038
TrabajoA,487,626324,627462,1138
TrabajoB,488,627462,628547,1085
TrabajoA,489,628547,629581,1034
TrabajoB,490,629581,630659,1078
TrabajoA,491,630659,631700,1041
TrabajoB,492,631700,632733,1033
TrabajoA,493,632733,633766,1033
TrabajoB,494,633766,634845,1079
TrabajoA,495,634845,635880,1035
TrabajoB,496,635880,636973,1093
TrabajoA,497,636973,638009,1036
TrabajoB,498,638009,639078,1069
TrabajoA,499,639078,640115,1037
TrabajoB,500,640115,642115,2000
TrabajoA,501,642115,644107,1992
TrabajoB,502,644107,646113,2006
TrabajoA,503,646113,648101,1988
TrabajoB,504,648101,650091,1990
TrabajoA,505,650091,652085,1994
TrabajoB,506,652085,654091,2006
TrabajoA,507,654091,656076,1985
TrabajoB,508,656076,658070,1994
TrabajoA,509,658070,660064,1994
TrabajoB,510,660064,662063,1999
TrabajoA,511,662063,663613,1550
TrabajoB,512,663613,664717,1104
TrabajoA,513,664717,665830,1113
TrabajoB,514,665830,666867,1037
TrabajoA,515,666867,667904,1037
TrabajoB,516,667904,668944,1040
TrabajoA,517,668944,669987,1043
TrabajoB,518,669987,671022,1035
TrabajoA,519,671022,672051,1029
TrabajoB,520,672051,673083,1032
TrabajoA,521,673083,674169,1086
TrabajoB,522,674169,675203,1034
TrabajoA,523,675203,676235,1032
TrabajoB,524,676235,677404,1169
TrabajoA,525,677404,678496,1092
TrabajoB,526,678496,679531,1035
TrabajoA,527,679531,680563,1032
TrabajoB,528,680563,681597,1034
TrabajoA,529,681597,682631,1034
TrabajoB,530,682631,683671,1040
TrabajoA,531,683671,684705,1034
TrabajoB,532,684705,685821,1116
TrabajoA,533,685821,686884,1063
TrabajoB,534,686884,687917,1033
TrabajoA,535,687917,688985,1068
TrabajoB,536,688985,690103,1118
TrabajoA,537,690103,691135,1032
TrabajoB,538,691135,692293,1158
TrabajoA,539,692293,694286,1993
TrabajoB,540,694286,695796,1510
TrabajoA,541,695796,697790,1994
TrabajoB,542,697790,699785,1995
TrabajoA,543,699785,701779,1994
TrabajoB,544,701779,703777,1998
TrabajoA,545,703777,705770,1993
TrabajoB,546,705770,707764,1994
TrabajoA,547,707764,709760,1996
TrabajoB,548,709760,711752,1992
TrabajoA,549,711752,713750,1998
TrabajoB,550,713750,715320,1570
TrabajoA,551,715320,716358,1038
TrabajoB,552,716358,717422,1064
TrabajoA,553,717422,718485,1063
TrabajoB,554,718485,719519,1034
TrabajoA,555,719519,720556,1037
TrabajoB,556,720556,721590,1034
TrabajoA,557,721590,722625,1035
TrabajoB,558,722625,723694,1069
TrabajoA,559,723694,724724,1030
TrabajoB,560,724724,725755,1031
TrabajoA,561,725755,726800,1045
TrabajoB,562,726800,727924,1124
TrabajoA,563,727924,729040,1116
TrabajoB,564,729040,730077,1037
TrabajoA,565,730077,731114,1037
TrabajoB,566,731114,732180,1066
TrabajoA,567,732180,733269,1089
TrabajoB,568,733269,734306,1037
TrabajoA,569,734306,735343,1037
TrabajoB,570,735343,736378,1035
TrabajoA,571,736378,737421,1043
TrabajoB,572,737421,738452,1031
TrabajoA,573,738452,739596,1144
TrabajoB,574,739596,740729,1133
TrabajoA,575,740729,741839,1110
TrabajoB,576,741839,742867,1028
TrabajoA,577,742867,743928,1061
TrabajoB,578,743928,745927,1999
TrabajoA,579,745927,747429,1502
TrabajoB,580,747429,749424,1995
TrabajoA,581,749424,751418,1994
TrabajoB,582,751418,753416,1998
TrabajoA,583,753416,755413,1997
TrabajoB,584,755413,757403,1990
TrabajoA,585,757403,759397,1994
TrabajoB,586,759397,761392,1995
TrabajoA,587,761392,763386,1994
TrabajoB,588,763386,765381,1995
TrabajoA,589,765381,766930,1549
TrabajoB,590,766930,768017,1087
TrabajoA,591,768017,769102,1085
TrabajoB,592,769102,770193,1091
TrabajoA,593,770193,771264,1071
TrabajoB,594,771264,772290,1026
TrabajoA,595,772290,773335,1045
TrabajoB,596,773335,774377,1042
TrabajoA,597,774377,775400,1023
TrabajoB,598,775400,776427,1027
TrabajoA,599,776427,777456,1029
TrabajoB,600,777456,778497,1041
TrabajoA,601,778497,779610,1113
TrabajoB,602,779610,780805,1195
TrabajoA,603,780805,781896,1091
TrabajoB,604,781896,782931,1035
TrabajoA,605,782931,783963,1032
TrabajoB,606,783963,784999,1036
TrabajoA,607,784999,786063,1064
TrabajoB,608,786063,787103,1040
TrabajoA,609,787103,788140,1037
TrabajoB,610,788140,789176,1036
TrabajoA,611,789176,790211,1035
TrabajoB,612,790211,791246,1035
TrabajoA,613,791246,792336,1090
TrabajoB,614,792336,793472,1136
TrabajoA,615,793472,794559,1087
TrabajoB,616,794559,795593,1034
TrabajoA,617,795593,797590,1997
TrabajoB,618,797590,799094,1504
TrabajoA,619,799094,801090,1996
TrabajoB,620,801090,803089,1999
TrabajoA,621,803089,804245,1156
TrabajoB,622,804245,806239,1994
TrabajoA,623,806239,808232,1993
TrabajoB,624,808232,809776,1544
TrabajoA,625,809776,810865,1089
TrabajoB,626,810865,811900,1035
TrabajoA,627,811900,812935,1035
TrabajoB,628,812935,813970,1035
TrabajoA,629,813970,815005,1035
TrabajoB,630,815005,816040,1035
TrabajoA,631,816040,817113,1073
TrabajoB,632,817113,818150,1037
TrabajoA,633,818150,819190,1040
TrabajoB,634,819190,820330,1140
TrabajoA,635,820330,821467,1137
TrabajoB,636,821467,822505,1038
TrabajoA,637,822505,823541,1036
TrabajoB,638,823541,824577,1036
TrabajoA,639,824577,825614,1037
TrabajoB,640,825614,826651,1037
TrabajoA,641,826651,827688,1037
TrabajoB,642,827688,828725,1037
TrabajoA,643,828725,829762,1037
TrabajoB,644,829762,830801,1039
TrabajoA,645,830801,831869,1068
TrabajoB,646,831869,832960,1091
TrabajoA,647,832960,834119,1159
TrabajoB,648,834119,835205,1086
TrabajoA,649,835205,836240,1035
TrabajoB,650,836240,837278,1038
TrabajoA,651,837278,839275,1997
TrabajoB,652,839275,840779,1504
TrabajoA,653,840779,842774,1995
TrabajoB,654,842774,844770,1996
TrabajoA,655,844770,846763,1993
TrabajoB,656,846763,848776,2013
TrabajoA,657,848776,850761,1985
TrabajoB,658,850761,852749,1988
TrabajoA,659,852749,854749,2000
TrabajoB,660,854749,856738,1989
TrabajoA,661,856738,858733,1995
TrabajoB,662,858733,860292,1559
TrabajoA,663,860292,861369,1077
TrabajoB,664,861369,862483,1114
TrabajoA,665,862483,863786,1303
TrabajoB,666,863786,864821,1035
TrabajoA,667,864821,865858,1037
TrabajoB,668,865858,866895,1037
TrabajoA,669,866895,867932,1037
TrabajoB,670,867932,868969,1037
TrabajoA,671,868969,870021,1052
TrabajoB,672,870021,871094,1073
TrabajoA,673,871094,872122,1028
TrabajoB,674,872122,873235,1113
TrabajoA,675,873235,874322,1087
TrabajoB,676,874322,875396,1074
TrabajoA,677,875396,876419,1023
TrabajoB,678,876419,877451,1032
TrabajoA,679,877451,878484,1033
TrabajoB,680,878484,879566,1082
TrabajoA,681,879566,880606,1040
TrabajoB,682,880606,881647,1041
TrabajoA,683,881647,882689,1042
TrabajoB,684,882689,883731,1042
TrabajoA,685,883731,884827,1096
TrabajoB,686,884827,885956,1129
TrabajoA,687,885956,887048,1092
TrabajoB,688,887048,888084,1036
TrabajoA,689,888084,889119,1035
TrabajoB,690,889119,891115,1996
TrabajoA,691,891115,892617,1502
TrabajoB,692,892617,894614,1997
TrabajoA,693,894614,896610,1996
TrabajoB,694,896610,898604,1994
TrabajoA,695,898604,900600,1996
TrabajoB,696,900600,901724,1124
TrabajoA,697,901724,902853,1129
TrabajoB,698,902853,903949,1096
TrabajoA,699,903949,905013,1064
TrabajoB,700,905013,906048,1035
TrabajoA,701,906048,907084,1036
TrabajoB,702,907084,908124,1040
TrabajoA,703,908124,909172,1048
TrabajoB,704,909172,910233,1061
TrabajoA,705,910233,911269,1036
TrabajoB,706,911269,912334,1065
TrabajoA,707,912334,913398,1064
TrabajoB,708,913398,914514,1116
TrabajoA,709,914514,915603,1089
TrabajoB,710,915603,916640,1037
TrabajoA,711,916640,917730,1090
TrabajoB,712,917730,918767,1037
TrabajoA,713,918767,919805,1038
TrabajoB,714,919805,920849,1044
TrabajoA,715,920849,921883,1034
TrabajoB,716,921883,922920,1037
TrabajoA,717,922920,923958,1038
TrabajoB,718,923958,925103,1145
TrabajoA,719,925103,926175,1072
TrabajoB,720,926175,927211,1036
TrabajoA,721,927211,928248,1037
TrabajoB,722,928248,929340,1092
TrabajoA,723,929340,930887,1547
TrabajoB,724,930887,932883,1996
TrabajoA,725,932883,934876,1993
TrabajoB,726,934876,936874,1998
TrabajoA,727,936874,938868,1994
TrabajoB,728,938868,940864,1996
TrabajoA,729,940864,942856,1992
TrabajoB,730,942856,944027,1171
TrabajoA,731,944027,945056,1029
TrabajoB,732,945056,946092,1036
TrabajoA,733,946092,947126,1034
TrabajoB,734,947126,948160,1034
TrabajoA,735,948160,949194,1034
TrabajoB,736,949194,950228,1034
TrabajoA,737,950228,951252,1024
TrabajoB,738,951252,953623,2371
TrabajoA,739,953623,954808,1185
TrabajoB,740,954808,956205,1397
TrabajoA,741,956205,957327,1122
TrabajoB,742,957327,958392,1065
TrabajoA,743,958392,959429,1037
TrabajoB,744,959429,960465,1036
TrabajoA,745,960465,961502,1037
TrabajoB,746,961502,962539,1037
TrabajoA,747,962539,963575,1036
TrabajoB,748,963575,964612,1037
TrabajoA,749,964612,965649,1037
TrabajoB,750,965649,966717,1068
TrabajoA,751,966717,967780,1063
TrabajoB,752,967780,968909,1129
TrabajoA,753,968909,969977,1068
TrabajoB,754,969977,971300,1323
TrabajoA,755,971300,972366,1066
TrabajoB,756,972366,973398,1032
TrabajoA,757,973398,975395,1997
TrabajoB,758,975395,976899,1504
TrabajoA,759,976899,978894,1995
TrabajoB,760,978894,980888,1994
TrabajoA,761,980888,982883,1995
TrabajoB,762,982883,984879,1996
TrabajoA,763,984879,985972,1093
TrabajoB,764,985972,987147,1175
TrabajoA,765,987147,988238,1091
TrabajoB,766,988238,989270,1032
TrabajoA,767,989270,990304,1034
TrabajoB,768,990304,991336,1032
TrabajoA,769,991336,992370,1034
TrabajoB,770,992370,993404,1034
TrabajoA,771,993404,994438,1034
TrabajoB,772,994438,995471,1033
TrabajoA,773,995471,996506,1035
