tarea,tick_ms,us_inicio,us_fin,duracion_us
Tmr Svc,0,433,751,318
Supervisor,1,751,852,101
TrabajoA,1,852,1821,969
TrabajoB,2,1821,3005,1184
TrabajoA,3,3005,4040,1035
TrabajoB,4,4040,5074,1034
TrabajoA,5,5074,6107,1033
TrabajoB,6,6107,7153,1046
TrabajoA,7,7153,8182,1029
TrabajoB,8,8182,9271,1089
TrabajoA,9,9271,10319,1048
TrabajoB,10,10319,11351,1032
TrabajoA,11,11351,12384,1033
TrabajoB,12,12384,13419,1035
TrabajoA,13,13419,14604,1185
TrabajoB,14,14604,15735,1131
TrabajoA,15,15735,17049,1314
TrabajoB,16,17049,18075,1026
TrabajoA,17,18075,19106,1031
TrabajoB,18,19106,20161,1055
TrabajoA,19,20161,21193,1032
TrabajoB,20,21193,22228,1035
TrabajoA,21,22228,23266,1038
TrabajoB,22,23266,24306,1040
TrabajoA,23,24306,25371,1065
TrabajoB,24,25371,26408,1037
TrabajoA,25,26408,27472,1064
TrabajoB,26,27472,28666,1194
TrabajoA,27,28666,29794,1128
TrabajoB,28,29794,31788,1994
TrabajoA,29,31788,33289,1501
TrabajoB,30,33289,35284,1995
TrabajoA,31,35284,37281,1997
TrabajoB,32,37281,39274,1993
TrabajoA,33,39274,41268,1994
TrabajoB,34,41268,43262,1994
TrabajoA,35,43262,45258,1996
TrabajoB,36,45258,47261,2003
TrabajoA,37,47261,49250,1989
TrabajoB,38,49250,51242,1992
TrabajoA,39,51242,52799,1557
TrabajoB,40,52799,53910,1111
TrabajoA,41,53910,54988,1078
TrabajoB,42,54988,56053,1065
TrabajoA,43,56053,57105,1052
TrabajoB,44,57105,58136,1031
TrabajoA,45,58136,59167,1031
TrabajoB,46,59167,60228,1061
TrabajoA,47,60228,61346,1118
TrabajoB,48,61346,62368,1022
TrabajoA,49,62368,63399,1031
TrabajoB,50,63399,64460,1061
TrabajoA,51,64460,65518,1058
TrabajoB,52,65518,66549,1031
TrabajoA,53,66549,67579,1030
TrabajoB,54,67579,68626,1047
TrabajoA,55,68626,69657,1031
TrabajoB,56,69657,70755,1098
TrabajoA,57,70755,71784,1029
TrabajoB,58,71784,72819,1035
TrabajoA,59,72819,73904,1085
TrabajoB,60,73904,74936,1032
TrabajoA,61,74936,75970,1034
TrabajoB,62,75970,77052,1082
TrabajoA,63,77052,78170,1118
TrabajoB,64,78170,79256,1086
TrabajoA,65,79256,80290,1034
TrabajoB,66,80290,81325,1035
TrabajoA,67,81325,83323,1998
TrabajoB,68,83323,84823,1500
TrabajoA,69,84823,86819,1996
TrabajoB,70,86819,88813,1994
TrabajoA,71,88813,90806,1993
TrabajoB,72,90806,92312,1506
TrabajoA,73,92312,93347,1035
TrabajoB,74,93347,94493,1146
TrabajoA,75,94493,95549,1056
TrabajoB,76,95549,96639,1090
TrabajoA,77,96639,97667,1028
TrabajoB,78,97667,98706,1039
TrabajoA,79,98706,99741,1035
TrabajoB,80,99741,100774,1033
TrabajoA,81,100774,101810,1036
TrabajoB,82,101810,102844,1034
TrabajoA,83,102844,103883,1039
TrabajoB,84,103883,104915,1032
TrabajoA,85,104915,106008,1093
TrabajoB,86,106008,107094,1086
TrabajoA,87,107094,108241,1147
TrabajoB,88,108241,109303,1062
TrabajoA,89,109303,110336,1033
TrabajoB,90,110336,111371,1035
TrabajoA,91,111371,112405,1034
TrabajoB,92,112405,113432,1027
TrabajoA,93,113432,114950,1518
TrabajoB,94,114950,116946,1996
TrabajoA,95,116946,118940,1994
TrabajoB,96,118940,120034,1094
TrabajoA,97,120034,121094,1060
TrabajoB,98,121094,122126,1032
TrabajoA,99,122126,123181,1055
TrabajoB,100,123181,124696,1515
TrabajoA,101,124696,126197,1501
TrabajoB,102,126197,128196,1999
TrabajoA,103,128196,130190,1994
TrabajoB,104,130190,132182,1992
TrabajoA,105,132182,134177,1995
TrabajoB,106,134177,136172,1995
TrabajoA,107,136172,137316,1144
TrabajoB,108,137316,138416,1100
TrabajoA,109,138416,139446,1030
TrabajoB,110,139446,140478,1032
TrabajoA,111,140478,141509,1031
