tick_ms,etiqueta,valor
1,latencia_cola_ms,0
2001,latencia_cola_ms,0
4001,latencia_cola_ms,0
6001,latencia_cola_ms,0
8001,latencia_cola_ms,0
10001,latencia_cola_ms,0
12001,latencia_cola_ms,0
