tarea,tick_ms,us_inicio,us_fin,duracion_us
Tmr Svc,0,365,685,320
Supervisor,1,685,771,86
Consumidor,1,771,892,121
Productor,1,892,1009,117
Consumidor,1,1009,1098,89
IDLE,1,1098,2608657,2607559
Productor,2001,2608657,2609061,404
Consumidor,2001,2609061,2609138,77
IDLE,2001,2609138,5264805,2655667
Productor,4001,5264805,5264878,73
Consumidor,4001,5264878,5264947,69
IDLE,4001,5264947,7867943,2602996
Productor,6001,7867943,7868024,81
Consumidor,6001,7868024,7868099,75
IDLE,6001,7868099,10474759,2606660
Productor,8001,10474759,10474829,70
Consumidor,8001,10474829,10474890,61
IDLE,8001,10474890,13138120,2663230
Productor,10001,13138120,13138230,110
Consumidor,10001,13138230,13138310,80
IDLE,10001,13138310,15774865,2636555
Productor,12001,15774865,15774932,67
Consumidor,12001,15774932,15774994,62
IDLE,12001,15774994,17096886,1321892
Supervisor,13001,17096886,17096886,0
